팀,선수,WAR,연봉등급,pid,연도
롯데 자이언츠,조세진,-0.15,E,15046,2025
롯데 자이언츠,김강현,0.81,E,12699,2025
롯데 자이언츠,정현수,0.58,E,16090,2025
롯데 자이언츠,한태양,0.80,E,15051,2025
롯데 자이언츠,박세진,-,E,12572,2025
롯데 자이언츠,서동욱,-,E,15624,2025
롯데 자이언츠,김동혁,1.21,E,15645,2025
롯데 자이언츠,현도훈,-,E,13271,2025
롯데 자이언츠,정우준,0.06,E,14795,2025
롯데 자이언츠,송재영,0.05,E,14794,2025
롯데 자이언츠,이주찬,-,E,14819,2025
롯데 자이언츠,이호준,0.18,E,16091,2025
롯데 자이언츠,백두산,-,E,16101,2025
롯데 자이언츠,강성우,-0.04,E,16093,2025
롯데 자이언츠,윤성빈,-0.19,E,12928,2025
롯데 자이언츠,박준우,-0.23,E,16092,2025
롯데 자이언츠,강승구,-,E,16102,2025
롯데 자이언츠,이인한,0.01,E,14690,2025
롯데 자이언츠,신병률,-,E,13173,2025
롯데 자이언츠,홍민기,1.16,E,14625,2025
롯데 자이언츠,김태현,-,E,16263,2025
롯데 자이언츠,김태균,-,E,16271,2025
롯데 자이언츠,한승현,0.01,E,16270,2025
롯데 자이언츠,최민규,-,E,16269,2025
롯데 자이언츠,이영재,-0.01,E,16268,2025
롯데 자이언츠,김동현,-,E,16267,2025
롯데 자이언츠,박재엽,0.21,E,16266,2025
롯데 자이언츠,김현우,-,E,16265,2025
롯데 자이언츠,박세현,-0.16,E,16264,2025
롯데 자이언츠,조영우,-,E,16272,2025
롯데 자이언츠,박찬형,-0.09,E,16395,2025
롯데 자이언츠,이태경,-0.01,E,16377,2025
롯데 자이언츠,이병준,-,E,14817,2025
롯데 자이언츠,엄장윤,-,E,15052,2025
롯데 자이언츠,김동규,-,E,14165,2025
롯데 자이언츠,김대현,-,E,16104,2025
롯데 자이언츠,배세종,-,E,16100,2025
롯데 자이언츠,박준기,-,E,16379,2025
롯데 자이언츠,오창현,-,E,16383,2025
롯데 자이언츠,박지훈,-,E,16382,2025
롯데 자이언츠,유태웅,-,E,16376,2025
롯데 자이언츠,박건우,-,E,16378,2025
롯데 자이언츠,이상화,-,E,16380,2025
롯데 자이언츠,정선우,-,E,16381,2025
KIA 타이거즈,네일,4.86,A,16088,2025
KIA 타이거즈,위즈덤,3.59,A,16262,2025
KIA 타이거즈,최형우,3.86,A,10344,2025
KIA 타이거즈,올러,3.09,A,16261,2025
KIA 타이거즈,나성범,-0.23,B,11162,2025
KIA 타이거즈,김태군,1.27,B,10459,2025
KIA 타이거즈,김선빈,0.89,B,10008,2025
KIA 타이거즈,김도영,1.70,B,15056,2025
KIA 타이거즈,양현종,0.75,B,10058,2025
KIA 타이거즈,박찬호,3.27,B,11261,2025
KIA 타이거즈,최원준,-0.94,B,12534,2025
KIA 타이거즈,조상우,0.68,B,11126,2025
KIA 타이거즈,정해영,0.17,B,14608,2025
KIA 타이거즈,임기영,-0.22,B,10909,2025
KIA 타이거즈,전상현,0.91,B,12537,2025
KIA 타이거즈,이의리,0.07,C,14788,2025
KIA 타이거즈,이우성,-0.48,C,11099,2025
KIA 타이거즈,이준영,-0.06,C,11303,2025
KIA 타이거즈,고종욱,0.88,C,10659,2025
KIA 타이거즈,한준수,0.80,C,13113,2025
KIA 타이거즈,이창진,-0.07,C,11233,2025
KIA 타이거즈,서건창,0.00,C,10855,2025
KIA 타이거즈,김대유,-0.08,C,10706,2025
KIA 타이거즈,윤영철,0.31,C,15432,2025
KIA 타이거즈,곽도규,-0.13,C,15435,2025
KIA 타이거즈,최지민,0.36,C,15057,2025
KIA 타이거즈,황동하,-0.07,C,15063,2025
KIA 타이거즈,김도현,2.23,D,14128,2025
KIA 타이거즈,변우혁,0.10,D,14124,2025
KIA 타이거즈,김호령,1.04,D,11298,2025
KIA 타이거즈,박준표,-,D,11070,2025
KIA 타이거즈,황대인,0.06,D,11306,2025
KIA 타이거즈,김규성,0.99,D,12540,2025
KIA 타이거즈,한승택,0.12,D,11119,2025
KIA 타이거즈,홍종표,0.31,D,14612,2025
KIA 타이거즈,이형범,-0.30,D,11159,2025
KIA 타이거즈,박정우,0.51,D,12869,2025
KIA 타이거즈,윤중현,0.05,D,13122,2025
KIA 타이거즈,김기훈,0.03,D,14176,2025
KIA 타이거즈,김승현,-,E,12637,2025
KIA 타이거즈,김현수,0.11,E,14162,2025
KIA 타이거즈,김건국,-0.19,E,12944,2025
KIA 타이거즈,최정용,-0.03,E,11407,2025
KIA 타이거즈,주효상,-,E,12567,2025
KIA 타이거즈,김사윤,-,E,11364,2025
KIA 타이거즈,김석환,0.09,E,12917,2025
KIA 타이거즈,예진원,-,E,13093,2025
KIA 타이거즈,유승철,0.02,E,12914,2025
KIA 타이거즈,박민,0.20,E,14611,2025
KIA 타이거즈,장민기,-,E,14789,2025
KIA 타이거즈,오선우,1.02,E,14181,2025
KIA 타이거즈,유지성,-,E,14607,2025
KIA 타이거즈,윤도현,0.34,E,15058,2025
KIA 타이거즈,김민재,0.08,E,16083,2025
KIA 타이거즈,김민주,-0.07,E,16082,2025
KIA 타이거즈,김두현,-,E,16086,2025
KIA 타이거즈,박건우,-,E,14786,2025
KIA 타이거즈,정해원,0.19,E,15433,2025
KIA 타이거즈,장재혁,-0.02,E,14657,2025
KIA 타이거즈,박헌,-,E,16260,2025
KIA 타이거즈,이성원,-,E,16259,2025
KIA 타이거즈,엄준현,-,E,16258,2025
KIA 타이거즈,김정엽,-,E,16254,2025
KIA 타이거즈,박재현,-0.70,E,16252,2025
KIA 타이거즈,이호민,0.15,E,16251,2025
KIA 타이거즈,김태형,0.09,E,16250,2025
KIA 타이거즈,임다온,-,E,16257,2025
KIA 타이거즈,나연우,-,E,16256,2025
KIA 타이거즈,최건희,-,E,16255,2025
KIA 타이거즈,양수호,-,E,16253,2025
KIA 타이거즈,이영재,-,E,14826,2025
KIA 타이거즈,장시현,-,E,14824,2025
KIA 타이거즈,이준범,-,E,14823,2025
KIA 타이거즈,신명승,-,E,15065,2025
KIA 타이거즈,홍원빈,-0.05,E,14177,2025
KIA 타이거즈,강이준,-,E,12866,2025
KIA 타이거즈,오정환,-,E,13117,2025
KIA 타이거즈,조대현,-,E,16077,2025
KIA 타이거즈,성영탁,0.96,E,16085,2025
KIA 타이거즈,강민제,-,E,16084,2025
KIA 타이거즈,강동훈,-,E,16080,2025
KIA 타이거즈,이상준,-,E,16078,2025
KIA 타이거즈,김재현,-,E,15440,2025
KIA 타이거즈,박상준,-,E,15125,2025
KIA 타이거즈,이도현,-0.10,E,15437,2025
KT 위즈,로하스,1.48,A,12995,2025
KT 위즈,고영표,3.08,A,11308,2025
KT 위즈,쿠에바스,0.42,A,13942,2025
KT 위즈,헤이수스,1.95,A,16138,2025
KT 위즈,강백호,0.36,B,13168,2025
KT 위즈,황재균,1.05,B,10407,2025
KT 위즈,장성우,1.94,B,10235,2025
KT 위즈,패트릭,0.27,B,16401,2025
KT 위즈,배정대,0.63,B,11212,2025
KT 위즈,김상수,1.32,B,10320,2025
KT 위즈,김민혁,0.28,B,11339,2025
KT 위즈,허경민,0.73,B,10184,2025
KT 위즈,배제성,0.56,C,11394,2025
KT 위즈,박영현,0.14,C,15089,2025
KT 위즈,소형준,3.54,C,14600,2025
KT 위즈,김민수,0.28,C,11317,2025
KT 위즈,주권,0.17,C,11323,2025
KT 위즈,우규민,0.68,C,10523,2025
KT 위즈,문상철,0.40,C,11333,2025
KT 위즈,오윤석,0.58,C,11397,2025
KT 위즈,오재일,-,C,10400,2025
