Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
신민혁,21 P,,30,25,145.0,22,7,13,2,90.9,1.24,,,,,,,,,0.0,0.0,,,0.0,130855
오장한,21 RF,,1,0,2.0,1,1,0,0,100.0,4.5,0.08,0.01,0.0,,,,,,0.1,14.12,,,0.01,147675
배민서,21 P,,32,2,40.0,8,3,4,1,87.5,1.58,,,,,,,,,0.0,0.0,,,0.0,141585
강윤구,21 P,,1,1,2.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,104235
홍성민,21 P,,52,0,41.1,14,3,11,0,100.0,3.05,,,,,,,,,0.0,0.0,,,0.0,108145
류진욱,21 P,,44,0,43.1,11,4,7,0,100.0,2.28,,,,,,,,,0.0,0.0,,,0.0,113555
최금강,21 P,,20,0,28.0,4,0,4,0,100.0,1.29,,,,,,,,,0.0,0.0,,,0.0,111745
김태현,21 P,,6,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128985
노시훈,21 P,,5,0,4.2,1,1,0,0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,146495
박세혁,21 C,0.765,96,73,575.1,549,495,50,4,99.3,8.53,0.32,,0.36,,-0.24,-0.11,1.67,,1.5,2.25,6.22,7.71,0.148,108911
김재호,21 SS,0.583,83,63,543.0,262,108,150,4,98.5,4.28,1.61,,0.38,-0.95,,,,,1.04,1.68,4.84,5.88,0.103,101741
장승현,21 C,0.524,91,57,505.0,466,429,33,4,99.1,8.23,0.24,,-0.36,,0.18,0.81,-0.84,,0.26,0.41,5.02,5.28,0.026,110971
정수빈,21 CF,0.082,103,77,731.2,223,218,4,1,99.6,2.73,0.64,-0.06,0.25,,,,,,0.82,1.14,0.0,0.82,0.082,101951
국해성,21 RF,0.022,3,1,13.0,2,2,0,0,100.0,1.38,0.28,,0.02,,,,,,0.29,10.62,-0.07,0.22,0.029,101721
황경태,21 2B,-0.078,1,0,4.0,3,2,0,1,66.7,4.5,-0.8,,0.01,,,,,,-0.8,-114.92,0.01,-0.79,-0.079,126041
페르난데스,21 1B,-0.432,18,17,140.0,115,107,5,3,97.4,7.2,-2.76,,0.12,,-0.19,,,,-2.84,-2.9,-1.52,-4.36,-0.282,139271
허경민,21 3B,-1.003,130,116,984.2,261,92,161,8,96.9,2.31,-9.18,,-0.76,0.01,-0.19,,,,-10.12,-10.72,0.0,-10.12,-1.003,101841
김재환,21 LF,-1.165,126,125,948.0,207,199,4,4,98.1,1.93,-4.29,-1.11,-1.14,,,,,,-6.54,-6.87,-5.21,-11.75,-0.648,106431
양석환,21 1B,-1.472,127,125,1014.1,920,854,58,8,99.1,8.09,-5.02,,0.34,,0.34,,,,-4.34,-4.7,-10.5,-14.84,-0.431,112131
김강률,21 P,,50,0,51.2,11,4,7,0,100.0,1.92,,,,,,,,,0.0,0.0,,,0.0,106901
이승진,21 P,,46,0,48.1,8,2,5,1,87.5,1.3,,,,,,,,,0.0,0.0,,,0.0,126781
박소준,21 P,,22,5,59.2,10,3,6,1,90.0,1.36,,,,,,,,,0.0,0.0,,,0.0,114911
박치국,21 P,,23,0,22.0,6,2,4,0,100.0,2.45,,,,,,,,,0.0,,,,0.0,128501
남호,21 P,,4,0,2.2,1,0,1,0,100.0,3.38,,,,,,,,,0.0,0.0,,,0.0,141391
홍건희,21 P,,63,0,74.1,18,6,12,0,100.0,2.18,,,,,,,,,0.0,0.0,,,0.0,106961
김명신,21 P,,58,1,67.0,13,2,11,0,100.0,1.75,,,,,,,,,0.0,0.0,,,0.0,128471
이영하,21 P,,35,11,78.2,10,2,8,0,100.0,1.14,,,,,,,,,0.0,0.0,,,0.0,125681
최원준,21 P,,29,29,158.1,24,8,15,1,95.8,1.31,,,,,,,,,0.0,,,,0.0,128521
권휘,21 P,,24,0,20.1,4,1,3,0,100.0,1.77,,,,,,,,,0.0,0.0,,,0.0,136651
김민규,21 P,,30,6,56.1,4,3,1,0,100.0,0.64,,,,,,,,,0.0,0.0,,,0.0,130721
이교훈,21 P,,11,0,8.1,1,0,1,0,100.0,1.08,,,,,,,,,0.0,0.0,,,0.0,141731
윤명준,21 P,,44,0,45.2,14,1,13,0,100.0,2.76,,,,,,,,,0.0,0.0,,,0.0,108851
문대원,21 P,,2,0,1.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128481
박동원,21 C,0.901,84,73,560.1,458,407,46,5,98.9,7.28,0.66,,-0.19,,0.15,0.84,1.59,,2.58,2.84,6.5,9.09,0.256,103877
이지영,21 C,0.641,94,50,508.2,422,389,30,3,99.3,7.41,0.21,,0.15,,-0.01,0.27,0.58,,1.02,1.36,5.45,6.47,0.101,103127
서건창,21 2B,0.57,69,69,574.2,331,138,186,7,97.9,5.07,1.37,,0.23,0.93,,,,,2.53,2.53,3.21,5.74,0.251,108557
김웅빈,21 3B,0.308,56,42,364.2,113,32,77,4,96.5,2.69,2.97,,0.27,-0.06,-0.08,,,,3.11,4.62,0.0,3.11,0.308,125037
김은성,21 LF,0.106,6,5,44.0,17,17,0,0,100.0,3.48,1.18,0.03,0.04,,,,,,1.25,30.07,-0.18,1.07,0.124,126837
이명기,21 1B,0.06,2,2,12.0,15,13,2,0,100.0,11.25,0.73,,0.01,,,,,,0.74,35.6,-0.14,0.6,0.074,142127
송우현,21 RF,-0.044,67,64,561.1,119,113,5,1,99.2,1.89,1.2,0.83,0.28,,,,,,2.3,4.81,-2.75,-0.45,0.228,113777
이정후,21 CF,-0.069,115,114,966.2,269,258,8,3,98.9,2.48,-1.42,1.23,-0.51,,,,,,-0.7,-0.82,0.0,-0.7,-0.069,129067
김재현,21 C,-0.081,39,12,139.0,102,93,8,1,99.0,6.54,-0.09,,-0.05,,-0.04,-0.56,-1.78,,-1.99,-7.35,1.18,-0.82,-0.197,108707
박병호,21 1B,-0.771,97,96,810.2,848,775,67,6,99.3,9.35,0.68,,-0.33,,-0.09,,,,0.26,0.32,-8.04,-7.78,0.026,104707
장재영,21 P,,19,2,17.2,3,0,3,0,100.0,1.53,,,,,,,,,0.0,0.0,,,0.0,147847
문성현,21 P,,4,0,3.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,104377
양현,21 P,,45,0,48.0,14,4,9,1,92.9,2.44,,,,,,,,,0.0,0.0,,,0.0,107307
박승주,21 P,,3,0,4.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,129897
윤정현,21 P,,10,0,12.1,4,2,2,0,100.0,2.92,,,,,,,,,0.0,0.0,,,0.0,141317
이승호,21 P,,38,3,47.1,10,1,8,1,90.0,1.71,,,,,,,,,0.0,0.0,,,0.0,128657
오주원,21 P,,22,0,19.1,6,2,4,0,100.0,2.79,,,,,,,,,0.0,0.0,,,0.0,104457
