팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
한화 이글스,안창호,3000,D,14878,2021,66,618
롯데 자이언츠,안치홍,29000,B,10014,2021,10,94
KT 위즈,안현준,3200,D,11312,2021,62,544
KT 위즈,알몬테,68250,A,14752,2021,4,45
NC 다이노스,알테어,169000,A,14599,2021,2,3
키움 히어로즈,양경식,7000,C,14853,2021,31,305
키움 히어로즈,양기현,4000,D,12854,2021,46,455
두산 베어스,양석환,21000,B,11213,2021,13,116
SSG 랜더스,양선률,3000,D,14682,2021,45,618
KIA 타이거즈,양승철,3200,D,14180,2021,63,544
삼성 라이온즈,양우현,3300,D,14116,2021,61,521
NC 다이노스,양의지,150000,A,10165,2021,3,7
삼성 라이온즈,양창섭,5000,C,13157,2021,46,401
키움 히어로즈,양현,12000,B,10730,2021,19,185
두산 베어스,양현진,6000,C,14840,2021,34,348
KT 위즈,엄상백,5000,C,11318,2021,48,401
롯데 자이언츠,엄태호,3100,D,14640,2021,58,573
키움 히어로즈,예진원,3000,D,13093,2021,54,618
KIA 타이거즈,오규석,3000,D,14655,2021,70,618
한화 이글스,오동욱,3300,D,14713,2021,49,521
두산 베어스,오명진,3100,D,14737,2021,55,573
LG 트윈스,오석주,3100,D,12860,2021,60,573
KIA 타이거즈,오선우,3400,D,14181,2021,58,509
삼성 라이온즈,오선진,10000,B,10557,2021,28,218
두산 베어스,오세훈,3000,D,14835,2021,64,618
삼성 라이온즈,오승환,110000,A,10367,2021,3,19
SSG 랜더스,오원석,2700,D,14581,2021,80,809
KT 위즈,오윤석,6000,C,11397,2021,41,348
NC 다이노스,오장한,11000,B,14767,2021,25,197
두산 베어스,오재원,30000,B,10178,2021,9,85
삼성 라이온즈,오재일,120000,A,10400,2021,2,15
KIA 타이거즈,오정환,3000,D,13117,2021,70,618
키움 히어로즈,오주원,20000,B,10445,2021,15,119
SSG 랜더스,오준혁,3000,D,10672,2021,45,618
LG 트윈스,오지환,60000,A,10475,2021,5,50
SSG 랜더스,오태곤,9500,C,10249,2021,25,247
NC 다이노스,오태양,9000,C,14766,2021,31,249
삼성 라이온즈,오현석,11000,B,14801,2021,27,197
롯데 자이언츠,오현택,7500,C,10210,2021,24,295
키움 히어로즈,요키시,97500,A,13940,2021,2,25
롯데 자이언츠,우강훈,7000,C,14816,2021,26,305
삼성 라이온즈,우규민,20000,B,10523,2021,17,119
NC 다이노스,원종현,30000,B,11161,2021,8,85
삼성 라이온즈,원태인,13000,B,14113,2021,23,174
LG 트윈스,유강남,30000,B,10753,2021,8,85
한화 이글스,유로결,3200,D,14126,2021,56,544
KIA 타이거즈,유민상,10500,B,10895,2021,14,214
SSG 랜더스,유서준,3100,D,11240,2021,44,573
KT 위즈,유원상,8000,C,10604,2021,27,271
두산 베어스,유재유,3200,D,12544,2021,53,544
KT 위즈,유준규,11000,B,14778,2021,22,197
KT 위즈,유한준,50000,A,10627,2021,6,57
SSG 랜더스,유호식,3000,D,13127,2021,45,618
두산 베어스,유희관,30000,B,10213,2021,9,85
한화 이글스,윤대경,7700,C,11110,2021,25,294
두산 베어스,윤명준,15600,B,10885,2021,17,161
한화 이글스,윤산흠,3000,D,14196,2021,66,618
롯데 자이언츠,윤성빈,3100,D,12928,2021,58,573
KT 위즈,윤세훈,7000,C,14881,2021,32,305
NC 다이노스,윤수강,3100,D,10836,2021,51,573
키움 히어로즈,윤정현,3500,D,14131,2021,49,491
KT 위즈,윤종휘,2700,D,14726,2021,79,809
KT 위즈,윤준혁,3000,D,14605,2021,67,618
KIA 타이거즈,윤중현,3000,D,13122,2021,70,618
NC 다이노스,윤형준,3000,D,11135,2021,55,618
한화 이글스,윤호솔,3100,D,11170,2021,61,573
롯데 자이언츠,이강준,3000,D,14601,2021,63,618
SSG 랜더스,이건욱,3000,D,11242,2021,45,618
두산 베어스,이교훈,3100,D,14173,2021,55,573
삼성 라이온즈,이기용,6000,C,14868,2021,41,348
KT 위즈,이대은,5000,C,11907,2021,48,401
롯데 자이언츠,이대호,120000,A,10251,2021,2,15
한화 이글스,이도윤,3200,D,11414,2021,56,544
NC 다이노스,이도현,3000,D,13252,2021,55,618
KIA 타이거즈,이동건,3100,D,14887,2021,66,573
LG 트윈스,이동규,3000,D,12553,2021,69,618
두산 베어스,이동원,3100,D,10887,2021,55,573
한화 이글스,이동훈,3300,D,12526,2021,49,521
