Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
30,강태율,22 C,-0.5,19,-0.56,0.06,38,35,32,0,3,1,0,0,4,3,0,0,2,1,0,9,2,3,0,0.094,0.171,0.125,0.296,-0.027,-22.7,-0.5,롯데 자이언츠,11388
31,이학주,22 SS,-0.67,91,-0.03,-0.64,260,251,232,29,48,11,1,3,70,15,2,4,16,2,0,54,3,9,1,0.207,0.263,0.302,0.565,0.061,50.4,-0.67,롯데 자이언츠,14114
32,정보근,22 C,-0.75,95,-0.73,-0.02,226,216,199,8,38,2,0,1,43,15,1,0,14,2,0,55,4,10,1,0.191,0.25,0.216,0.466,0.028,23.7,-0.75,롯데 자이언츠,13154
33,조세진,22 RF,-0.87,39,-0.88,0.01,88,87,86,6,16,3,0,0,19,6,0,1,1,0,0,25,4,1,0,0.186,0.195,0.221,0.416,-0.002,-2.0,-0.87,롯데 자이언츠,15046
1,나성범,22 RF,6.94,144,6.6,0.33,649,643,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.186,161.8,6.94,KIA 타이거즈,11162
2,소크라테스,22 CF,4.46,127,4.61,-0.15,554,551,514,83,160,29,7,17,254,77,12,7,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.157,136.4,4.46,KIA 타이거즈,14996
3,박동원,22 C,3.76,112,3.33,0.43,407,397,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,1,0.244,0.333,0.44,0.773,0.136,118.5,3.76,KIA 타이거즈,10387
4,박찬호,22 SS,3.42,130,3.15,0.27,566,558,493,81,134,22,0,4,168,45,42,8,57,1,0,67,9,8,7,0.272,0.344,0.341,0.685,0.108,94.1,3.42,KIA 타이거즈,11261
5,김선빈,22 2B,3.12,140,3.37,-0.25,587,579,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.35,0.723,0.127,109.9,3.12,KIA 타이거즈,10008
6,최형우,22 DH,2.63,132,2.47,0.16,530,526,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.145,125.9,2.63,KIA 타이거즈,10344
7,류지혁,22 3B,1.96,127,2.17,-0.21,477,469,405,55,111,19,2,2,140,48,8,4,56,6,0,83,6,8,2,0.274,0.369,0.346,0.715,0.126,109.6,1.96,KIA 타이거즈,10894
8,이창진,22 LF,1.88,111,1.96,-0.07,404,393,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,0.301,0.374,0.402,0.776,0.14,121.7,1.88,KIA 타이거즈,11233
9,김도영,22 3B,1.69,103,0.88,0.81,254,250,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,0.237,0.312,0.362,0.674,0.104,90.7,1.69,KIA 타이거즈,15056
10,고종욱,22 DH,0.29,62,0.44,-0.14,114,113,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0,0.283,0.327,0.425,0.752,0.125,108.5,0.29,KIA 타이거즈,10659
11,김호령,22 CF,0.27,54,0.21,0.05,88,84,77,21,21,1,1,1,27,8,2,1,7,0,0,22,4,4,0,0.273,0.333,0.351,0.684,0.106,92.6,0.27,KIA 타이거즈,11298
12,황대인,22 1B,0.18,129,0.35,-0.17,524,523,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,0.113,98.8,0.18,KIA 타이거즈,11306
13,박정우,22 CF,0.05,16,-0.06,0.11,3,3,3,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.09,73.8,0.05,KIA 타이거즈,12869
14,김선우,22 C,0.05,3,0.08,-0.03,4,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.5,0.333,0.833,0.213,183.6,0.05,KIA 타이거즈,14822
15,권혁경,22 C,0.01,2,0.03,-0.03,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.215,197.9,0.01,KIA 타이거즈,14790
16,이의리,22 P,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,KIA 타이거즈,14788
