Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
27,장규현,25 C,0.006,1,0,2.2,3,3,0,0,100.0,10.13,0.0,,0.01,,,,0.04,,0.04,5.66,0.02,0.06,0.004,0.006,포수
28,권희동,25 C,0.003,1,0,1.0,1,1,0,0,100.0,9.0,,,0.0,,,,0.0,,0.0,0.01,0.02,0.03,0.0,0.003,포수
29,김성우,25 C,-0.001,4,0,8.0,7,7,0,0,100.0,7.88,0.0,,0.03,,,,-0.15,,-0.08,-2.87,0.07,-0.01,-0.008,-0.001,포수
30,장승현,25 C,-0.004,4,1,11.0,11,10,1,0,100.0,9.0,0.0,,0.04,,,0.0,-0.18,,-0.09,-3.26,0.05,-0.04,-0.009,-0.004,포수
31,류현준,25 C,-0.016,7,3,30.2,25,23,1,1,96.0,7.04,0.41,,-0.4,,-0.24,0.04,-0.36,,-0.44,-4.91,0.29,-0.15,-0.045,-0.016,포수
32,김도환,25 C,-0.019,2,1,6.0,5,5,0,0,100.0,7.5,0.0,,0.02,,,,-0.4,,-0.26,-18.54,0.07,-0.19,-0.026,-0.019,포수
33,박재엽,25 C,-0.031,8,3,38.0,42,40,1,1,97.6,9.71,-0.09,,-0.38,,,0.32,-0.7,,-0.64,-11.52,0.34,-0.3,-0.065,-0.031,포수
34,강현우,25 C,-0.084,17,8,80.1,79,68,8,3,96.2,8.51,-0.72,,-1.24,,0.4,-0.07,0.06,,-1.59,-12.74,0.77,-0.82,-0.162,-0.084,포수
35,박세혁,25 C,-0.101,26,14,116.0,109,97,9,3,97.2,8.22,-0.15,,-1.12,,0.23,-1.24,0.1,,-2.22,-10.63,1.22,-0.99,-0.226,-0.101,포수
36,안중열,25 C,-0.184,18,10,94.2,72,63,7,2,97.2,6.65,-0.32,,-0.69,,0.06,0.1,-2.7,,-2.74,-20.79,0.94,-1.81,-0.279,-0.184,포수
