Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
81,변상권,25 LF,-0.18,9,-0.16,-0.02,17,17,16,2,4,1,0,0,5,2,0,0,0,0,0,2,0,0,1,0.250,0.235,0.313,0.548,0.031,29.2,-0.18
82,추재현,25 LF,-0.22,27,-0.05,-0.17,78,77,73,7,17,3,1,1,25,7,0,0,3,1,0,14,2,1,0,0.233,0.273,0.342,0.615,0.073,63.3,-0.22
83,박시원,25 RF,-0.28,42,-0.02,-0.26,50,49,44,11,9,2,0,1,14,2,1,0,5,0,0,15,0,1,0,0.205,0.286,0.318,0.604,0.080,65.3,-0.28
84,장재영,25 CF,-0.31,10,-0.09,-0.22,16,16,14,1,2,0,0,0,2,2,1,0,2,0,0,7,0,0,0,0.143,0.250,0.143,0.393,0.019,16.4,-0.31
85,이용규,25 CF,-0.33,12,-0.15,-0.18,39,38,35,7,7,1,0,0,8,0,1,0,3,0,0,8,1,1,0,0.200,0.263,0.229,0.492,0.039,35.5,-0.33
86,유준규,25 LF,-0.34,18,-0.22,-0.12,29,29,24,5,1,0,0,0,1,3,1,0,5,0,0,9,0,0,0,0.042,0.207,0.042,0.249,-0.015,-13.3,-0.34
87,이상혁,25 RF,-0.36,32,-0.13,-0.23,8,7,7,10,2,1,0,0,3,1,3,4,0,0,0,2,0,1,0,0.286,0.286,0.429,0.715,0.096,82.7,-0.36
88,김태훈,25 RF,-0.37,31,-0.14,-0.23,65,64,63,3,16,1,0,2,23,6,1,0,1,0,0,15,0,1,0,0.254,0.266,0.365,0.631,0.070,57.4,-0.37
89,하재훈,25 RF,-0.38,8,-0.18,-0.20,25,25,24,2,4,0,0,1,7,3,0,0,1,0,0,12,0,0,0,0.167,0.200,0.292,0.492,0.023,19.9,-0.38
90,박주홍,25 RF,-0.38,58,-0.45,0.07,117,116,104,7,18,3,0,2,27,9,7,0,9,1,0,40,2,1,2,0.173,0.241,0.260,0.501,0.038,34.5,-0.38
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
91,유로결,25 RF,-0.41,20,-0.16,-0.25,16,14,13,1,2,0,0,0,2,0,1,0,0,1,0,4,0,2,0,0.154,0.214,0.154,0.368,-0.011,-9.0,-0.41
92,푸이그,25 LF,-0.43,40,-0.15,-0.27,172,172,156,17,33,2,0,6,53,20,0,0,12,4,0,38,1,0,0,0.212,0.285,0.340,0.625,0.083,74.7,-0.43
93,이우성,25 LF,-0.44,54,0.06,-0.50,172,172,151,11,34,10,1,2,52,15,0,0,18,2,0,36,4,0,1,0.225,0.314,0.344,0.658,0.101,86.1,-0.44
94,김성욱,25 RF,-0.51,19,-0.34,-0.17,34,34,33,1,6,1,0,0,7,5,1,1,1,0,0,11,0,0,0,0.182,0.206,0.212,0.418,-0.001,-1.2,-0.51
95,김민혁,25 LF,-0.52,82,-0.08,-0.45,320,317,294,34,85,7,1,0,94,30,8,3,17,6,1,26,9,2,1,0.289,0.340,0.320,0.660,0.096,80.6,-0.52
96,조수행,25 LF,-0.53,60,-0.32,-0.21,81,76,69,14,15,1,0,0,16,4,16,4,7,0,0,18,1,5,0,0.217,0.289,0.232,0.521,0.055,48.5,-0.53
97,윤정빈,25 RF,-0.62,23,-0.27,-0.35,43,43,37,3,7,1,0,0,8,3,0,0,4,0,0,16,1,0,2,0.189,0.256,0.216,0.472,0.032,25.1,-0.62
98,임병욱,25 CF,-0.63,36,-0.40,-0.23,94,94,90,5,21,3,1,0,26,8,1,0,3,0,0,23,2,0,1,0.233,0.255,0.289,0.544,0.045,41.7,-0.63
99,박재현,25 CF,-0.69,30,-0.37,-0.32,32,32,30,6,3,1,0,0,4,0,3,1,2,0,0,12,0,0,0,0.100,0.156,0.133,0.289,-0.040,-33.0,-0.69
100,스톤,25 RF,-0.71,22,-0.34,-0.36,93,93,87,4,21,0,0,2,27,15,0,0,5,0,0,24,2,0,1,0.241,0.280,0.310,0.590,0.065,59.9,-0.71
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
101,최원준,25 RF,-0.86,71,-0.21,-0.66,241,241,223,26,50,7,0,4,69,19,9,1,15,2,0,43,2,0,1,0.224,0.278,0.309,0.587,0.067,58.2,-0.86
102,김민석,25 LF,-0.92,52,-0.51,-0.40,143,141,132,11,31,2,2,0,37,8,2,2,8,1,1,38,1,1,1,0.235,0.282,0.280,0.562,0.057,50.1,-0.92
