선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
신용수,3400,-0.64,-5272,롯데 자이언츠,14169,2021,38,407
한승혁,3400,-0.14,-23911,롯데 자이언츠,12590,2021,39,408
박선우,3300,0.08,38900,롯데 자이언츠,12569,2021,40,422
박명현,3200,-,-,롯데 자이언츠,14622,2021,41,445
배성근,3200,-0.51,-6260,롯데 자이언츠,13279,2021,42,446
정태승,3200,-,-,롯데 자이언츠,10833,2021,43,447
강태율,3200,-0.26,-12249,롯데 자이언츠,11388,2021,44,448
김민수,3200,0.32,9879,롯데 자이언츠,12931,2021,45,449
박영완,3200,-,-,롯데 자이언츠,14164,2021,46,450
윤성빈,3100,0.04,70846,롯데 자이언츠,12928,2021,47,480
김주현,3100,0.06,49705,롯데 자이언츠,12570,2021,48,481
홍민기,3100,0.00,-1864550,롯데 자이언츠,14625,2021,49,482
엄태호,3100,-,-,롯데 자이언츠,14640,2021,50,483
최민재,3100,-0.60,-5178,롯데 자이언츠,13004,2021,51,484
김진욱,3000,0.26,11385,롯데 자이언츠,14792,2021,52,563
김창훈,3000,-0.17,-17467,롯데 자이언츠,14793,2021,53,564
송재영,3000,-0.30,-10033,롯데 자이언츠,14794,2021,54,565
최우인,3000,-,-,롯데 자이언츠,14818,2021,55,566
이병준,3000,-,-,롯데 자이언츠,14817,2021,56,567
