Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
25,이영빈,21 1B,0.015,26,20,162.1,171,157,12,2,98.8,9.37,1.99,,-0.36,,,,,,1.63,3.25,-1.48,0.15,0.161,0.015,LG 트윈스,14783
26,신민재,21 LF,0.007,2,0,6.0,1,1,0,0,100.0,1.5,0.09,,0.01,,,,,,0.1,0.43,-0.03,0.07,0.009,0.007,LG 트윈스,13056
27,신민재,21 2B,0.005,11,4,39.0,23,8,14,1,95.7,5.08,0.77,,-0.45,-0.41,,,,,-0.08,-0.37,0.13,0.05,-0.008,0.005,LG 트윈스,13056
28,김민성,21 SS,0.002,2,0,2.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.02,0.02,0.0,0.002,LG 트윈스,10238
29,문보경,21 2B,0.002,1,0,3.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.02,0.02,0.0,0.002,LG 트윈스,14137
30,신민재,21 SS,0.002,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.01,0.02,0.02,0.0,0.002,LG 트윈스,13056
31,김현수,21 1B,0.001,5,2,15.2,20,19,1,0,100.0,11.49,0.16,,0.01,,,,,,0.17,0.17,-0.16,0.01,0.017,0.001,LG 트윈스,10187
32,최민창,21 CF,0.0,2,0,3.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.15,0.0,0.0,0.0,0.0,LG 트윈스,11351
33,이형종,21 CF,0.0,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,LG 트윈스,12516
34,신민재,21 RF,-0.001,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.01,-0.01,-0.01,0.0,-0.001,LG 트윈스,13056
